port|group|channel
4815|SLAAF|LHE1-SLAAF:ACCTEcartMax
4815|SLAAF|LHE1-SLAAF:ACCTEcartMes
4815|SLAAF|LHE1-SLAAF:ACCTIBeamMes
4815|SLAAF|LHE1-SLAAF:ACCTNbPMes
4815|SLAAF|LHE1-SLAAF:DCCTEcartMax
4815|SLAAF|LHE1-SLAAF:DCCTEcartMes
4815|SLAAF|LHE1-SLAAF:DCCTIBeamMes
4815|SLAAF|LHE1-SLAAF:DCCTNbPMes
4815|SLAAF|LHE1-SLAAF:IBeamSurv
4815|SLAAF|LHE1-SLAAF:IntegraleSurv
4815|SLAAF|LHE1-SLAAF:ModeAcquisition
4815|SLAAF|LHE1-SLAAF:ModeIrradiation
4815|SLAAF|LHE1-SLAAF:NbPSurv
4815|SLAAF|LHE1-SLAAF:PourcentageSurv
4816|ECSF|ECSF:DdeCRFQ
4816|ECSF|ECSF:DdeCSPMT
4816|ECSF|ECSF:DftECSF
4816|ECSF|ECSF:DftHacheur
4816|ECSF|ECSF:InputIntlk
4816|ECSF|ECSF:SClMes
4816|ECSF|ECSF:TSGnAct
4816|ECSF|ECSF:TSGState
4816|ECSF|ECSF:TSHlAct
4816|ECSF|ECSF:TSHrAct
4816|ECSF|ECSF:TSHState
4816|ECSF|ECSF:TSR1Act
4816|ECSF|ECSF:TSR2Act
4816|ECSF|ECSF:TSRAct
4816|ECSF|ECSF:TSRlAct
4816|ECSF|ECSF:TSRrAct
4816|ECSF|ECSF:TSRState
4816|ECSF|ECSF:TSS1lAct
4816|ECSF|ECSF:TSS1State
4816|ECSF|ECSF:TSS2AAct
4816|ECSF|ECSF:TSS2lAct
4816|ECSF|ECSF:TSS2State
4816|ECSF|SP2-ECSF-INTLK:CUAct
4816|LME-ACCT21|LME-ACCT21-FAST:IFaMesCret
4816|LME-ACCT21|LME-ACCT21-FAST:IFoMesCret
4816|LME-ACCT21|LME-ACCT21-FAST:IMesCret
4816|LME-ACCT21|LME-ACCT21-SURV:ICptHard1Mes
4816|LME-ACCT21|LME-ACCT21:IMes
4816|LME-CF21|LME-CF21-FAST:IMesCret
4816|LME-CF21|LME-CF21-SURV:IMeanHardMes
4816|LME-CF21|LME-CF21BO-SURV:IMeanHardMes
4816|LME-DCCT21|LME-DCCT21-FAST:IMesCret
4816|LME-DCCT21|LME-DCCT21-SURV:ICptHard1Mes
4816|LME-DCCT21|LME-DCCT21:IMes
4816|LME-DCCTDIFF|LME-DCCTDIFF-FAST:IMesCret
4816|LME-DCCTDIFF|LME-DCCTDIFF-SURV:ICptHard1Mes
4816|LME-DCCTDIFF|LME-DCCTDIFF-SURV:ICptSoft4Mes
4816|LME-FH21|LME-FH21D-SURV:IMeanHardMes
4816|LME-FH21|LME-FH21G-SURV:IMeanHardMes
4816|LME-FH21|LME-FV21B-SURV:IMeanHardMes
4816|LME-FH21|LME-FV21H-SURV:IMeanHardMes
4816|LME-FH22|LME-FH22D-SURV:IMeanHardMes
4816|LME-FH22|LME-FH22G-SURV:IMeanHardMes
4816|LME-FH22|LME-FV22-B:TMes
4816|LME-FH22|LME-FV22-H:TMes
4816|LME-FH22|LME-FV22B-SURV:IMeanHardMes
4816|LME-FH22|LME-FV22B:PosLec
4816|LME-FH22|LME-FV22H-SURV:IMeanHardMes
4816|LME-FH22|LME-FV22H:PosLec
4816|LME-FH23|LME-FH23D-SURV:IMeanHardMes
4816|LME-FH23|LME-FH23G-SURV:IMeanHardMes
4816|LME-FH23|LME-FV23B-SURV:IMeanHardMes
4816|LME-FH23|LME-FV23H-SURV:IMeanHardMes
4816|RFQ|RFQ1-MSTR1-VAMP1:UampdBMes
4816|RFQ|RFQ1-MSTR1-VAMP1:UampIndBMes
4816|RFQ|RFQ1-MSTR1:Llrf.DPCI
4816|RFQ|RFQ1-MSTR1:Llrf.DSTF
4816|RFQ|RFQ1-MSTR1:Llrf.NBD
4816|RFQ|RFQ1-MSTR1:Llrf.TRFI
4816|RFQ|RFQ1-MSTR1:Llrf.UAMA
4816|RFQ|RFQ1-MSTR1:Llrf.UIA1
4816|RFQ|RFQ1-MSTR1:UcavAmpMes
4816|RFQ|RFQ1-MSTR1:UciPwrMes
4816|RFQ|RFQ1-MSTR1:UcrPwrMes
4816|RFQ|RFQ1-SLV2-VAMP1:UampdBMes
4816|RFQ|RFQ1-SLV2-VAMP1:UampIndBMes
4816|RFQ|RFQ1-SLV2:Llrf.TRFI
4816|RFQ|RFQ1-SLV2:Llrf.UAMA
4816|RFQ|RFQ1-SLV2:Llrf.UIA1
4816|RFQ|RFQ1-SLV2:UciPwrMes
4816|RFQ|RFQ1-SLV2:UcrPwrMes
4816|RFQ|RFQ1-SLV3-VAMP1:UampdBMes
4816|RFQ|RFQ1-SLV3-VAMP1:UampIndBMes
4816|RFQ|RFQ1-SLV3:Llrf.TRFI
4816|RFQ|RFQ1-SLV3:Llrf.UAMA
4816|RFQ|RFQ1-SLV3:Llrf.UIA1
4816|RFQ|RFQ1-SLV3:UciPwrMes
4816|RFQ|RFQ1-SLV3:UcrPwrMes
4816|RFQ|RFQ1-SLV4-VAMP1:UampdBMes
4816|RFQ|RFQ1-SLV4-VAMP1:UampIndBMes
4816|RFQ|RFQ1-SLV4:Llrf.TRFI
4816|RFQ|RFQ1-SLV4:Llrf.UAMA
4816|RFQ|RFQ1-SLV4:Llrf.UIA1
4816|RFQ|RFQ1-SLV4:UciPwrMes
4816|RFQ|RFQ1-SLV4:UcrPwrMes
4816|RFQ|RFQ1:RFQPwrMes
4816|RFQ-LME-TURBO|LME-GT01:Pwd
4816|RFQ-LME-TURBO|LME-GT01:Temp
4816|RFQ-LME-TURBO|LME-GT02:Pwd
4816|RFQ-LME-TURBO|LME-GT02:Temp
4816|RFQ-LME-TURBO|RFQ-GT14:Pwd
4816|RFQ-LME-TURBO|RFQ-GT14:Temp
4816|RFQ-MASTER-AMP1|RFQ1-MSTR1-AMP1:DebEauChMes
4816|RFQ-MASTER-AMP1|RFQ1-MSTR1-AMP1:DebEauDisMes
4816|RFQ-MASTER-AMP1|RFQ1-MSTR1-AMP1:DebEauTubMes
4816|RFQ-MASTER-AMP1|RFQ1-MSTR1-AMP1:DefectMbb
4816|RFQ-MASTER-AMP1|RFQ1-MSTR1-AMP1:I1Mes
4816|RFQ-MASTER-AMP1|RFQ1-MSTR1-AMP1:I2Mes
4816|RFQ-MASTER-AMP1|RFQ1-MSTR1-AMP1:I3Mes
4816|RFQ-MASTER-AMP1|RFQ1-MSTR1-AMP1:I4Mes
4816|RFQ-MASTER-AMP1|RFQ1-MSTR1-AMP1:IAnodeMes
4816|RFQ-MASTER-AMP1|RFQ1-MSTR1-AMP1:IfilMes
4816|RFQ-MASTER-AMP1|RFQ1-MSTR1-AMP1:IG1Mes
4816|RFQ-MASTER-AMP1|RFQ1-MSTR1-AMP1:IG2Mes
4816|RFQ-MASTER-AMP1|RFQ1-MSTR1-AMP1:StateMbb
4816|RFQ-MASTER-AMP1|RFQ1-MSTR1-AMP1:StateMbb.B2
4816|RFQ-MASTER-AMP1|RFQ1-MSTR1-AMP1:TDisMes
4816|RFQ-MASTER-AMP1|RFQ1-MSTR1-AMP1:TeauDisMes
4816|RFQ-MASTER-AMP1|RFQ1-MSTR1-AMP1:TEauTubMes
4816|RFQ-MASTER-AMP1|RFQ1-MSTR1-AMP1:TinChMes
4816|RFQ-MASTER-AMP1|RFQ1-MSTR1-AMP1:ToutChMes
4816|RFQ-MASTER-AMP1|RFQ1-MSTR1-AMP1:V1Mes
4816|RFQ-MASTER-AMP1|RFQ1-MSTR1-AMP1:V2Mes
4816|RFQ-MASTER-AMP1|RFQ1-MSTR1-AMP1:VAnodeMes
4816|RFQ-MASTER-AMP1|RFQ1-MSTR1-AMP1:VG1Mes
4816|RFQ-MASTER-AMP1|RFQ1-MSTR1-AMP1:VG2Mes
4816|RFQ-MASTER-AMP1|RFQ1-MSTR1-AMP1:WIncCpMes
4816|RFQ-MASTER-AMP1|RFQ1-MSTR1-AMP1:WIncMes
4816|RFQ-MASTER-AMP1|RFQ1-MSTR1-AMP1:WRefCpMes
4816|RFQ-MASTER-AMP1|RFQ1-MSTR1-AMP1:WRefMes
4816|RFQ-SLV2-AMP1|RFQ1-SLV2-AMP1:DebEauChMes
4816|RFQ-SLV2-AMP1|RFQ1-SLV2-AMP1:DebEauDisMes
4816|RFQ-SLV2-AMP1|RFQ1-SLV2-AMP1:DebEauTubMes
4816|RFQ-SLV2-AMP1|RFQ1-SLV2-AMP1:DefectMbb
4816|RFQ-SLV2-AMP1|RFQ1-SLV2-AMP1:I1Mes
4816|RFQ-SLV2-AMP1|RFQ1-SLV2-AMP1:I2Mes
4816|RFQ-SLV2-AMP1|RFQ1-SLV2-AMP1:I3Mes
4816|RFQ-SLV2-AMP1|RFQ1-SLV2-AMP1:I4Mes
4816|RFQ-SLV2-AMP1|RFQ1-SLV2-AMP1:IAnodeMes
4816|RFQ-SLV2-AMP1|RFQ1-SLV2-AMP1:IfilMes
4816|RFQ-SLV2-AMP1|RFQ1-SLV2-AMP1:IG1Mes
4816|RFQ-SLV2-AMP1|RFQ1-SLV2-AMP1:IG2Mes
4816|RFQ-SLV2-AMP1|RFQ1-SLV2-AMP1:StateMbb
4816|RFQ-SLV2-AMP1|RFQ1-SLV2-AMP1:StateMbb.B2
4816|RFQ-SLV2-AMP1|RFQ1-SLV2-AMP1:TDisMes
4816|RFQ-SLV2-AMP1|RFQ1-SLV2-AMP1:TeauDisMes
4816|RFQ-SLV2-AMP1|RFQ1-SLV2-AMP1:TEauTubMes
4816|RFQ-SLV2-AMP1|RFQ1-SLV2-AMP1:TinChMes
4816|RFQ-SLV2-AMP1|RFQ1-SLV2-AMP1:ToutChMes
4816|RFQ-SLV2-AMP1|RFQ1-SLV2-AMP1:V1Mes
4816|RFQ-SLV2-AMP1|RFQ1-SLV2-AMP1:V2Mes
4816|RFQ-SLV2-AMP1|RFQ1-SLV2-AMP1:VAnodeMes
4816|RFQ-SLV2-AMP1|RFQ1-SLV2-AMP1:VG1Mes
4816|RFQ-SLV2-AMP1|RFQ1-SLV2-AMP1:VG2Mes
4816|RFQ-SLV2-AMP1|RFQ1-SLV2-AMP1:WIncCpMes
4816|RFQ-SLV2-AMP1|RFQ1-SLV2-AMP1:WIncMes
4816|RFQ-SLV2-AMP1|RFQ1-SLV2-AMP1:WRefCpMes
4816|RFQ-SLV2-AMP1|RFQ1-SLV2-AMP1:WRefMes
4816|RFQ-SLV3-AMP1|RFQ1-SLV3-AMP1:DebEauChMes
4816|RFQ-SLV3-AMP1|RFQ1-SLV3-AMP1:DebEauDisMes
4816|RFQ-SLV3-AMP1|RFQ1-SLV3-AMP1:DebEauTubMes
4816|RFQ-SLV3-AMP1|RFQ1-SLV3-AMP1:DefectMbb
4816|RFQ-SLV3-AMP1|RFQ1-SLV3-AMP1:I1Mes
4816|RFQ-SLV3-AMP1|RFQ1-SLV3-AMP1:I2Mes
4816|RFQ-SLV3-AMP1|RFQ1-SLV3-AMP1:I3Mes
4816|RFQ-SLV3-AMP1|RFQ1-SLV3-AMP1:I4Mes
4816|RFQ-SLV3-AMP1|RFQ1-SLV3-AMP1:IAnodeMes
4816|RFQ-SLV3-AMP1|RFQ1-SLV3-AMP1:IfilMes
4816|RFQ-SLV3-AMP1|RFQ1-SLV3-AMP1:IG1Mes
4816|RFQ-SLV3-AMP1|RFQ1-SLV3-AMP1:IG2Mes
4816|RFQ-SLV3-AMP1|RFQ1-SLV3-AMP1:StateMbb
4816|RFQ-SLV3-AMP1|RFQ1-SLV3-AMP1:StateMbb.B2
4816|RFQ-SLV3-AMP1|RFQ1-SLV3-AMP1:TDisMes
4816|RFQ-SLV3-AMP1|RFQ1-SLV3-AMP1:TeauDisMes
4816|RFQ-SLV3-AMP1|RFQ1-SLV3-AMP1:TEauTubMes
